update_time,success,tracker_id,label,units,name,type,value,units_type,converted_units_type,converted_value
,True,877766,,,,,,,,
,True,877767,,,,,,,,
,True,877768,,,,,,,,
,True,3036043,,,,,,,,
,True,3036045,,,,,,,,
,True,3036047,,,,,,,,
,True,3036049,,,,,,,,
2024-07-23 04:07:21,True,3036056,OBD: Fuel,,obd_fuel,fuel,48.0,percent,,
2024-07-23 00:39:56,True,3036057,CAN: Fuel (litres),L,can_fuel_litres,fuel,695.0,litre,,
,True,3036059,,,,,,,,
,True,3036060,,,,,,,,
,True,1228833,,,,,,,,
2024-07-23 04:09:17,True,3036068,OBD: Real Fuel (litres),,obd_custom_fuel_litres,fuel,20.400000000000002,litre,,
2024-07-23 03:54:17,True,3036069,CAN: Fuel (litres),,can_fuel_litres,fuel,927.0,litre,,
,True,3036070,,,,,,,,
,True,3036071,,,,,,,,
