update_time,success,tracker_id,label,units,name,type,value,units_type,converted_units_type,converted_value
,True,877766,,,,,,,,
,True,877767,,,,,,,,
,True,877768,,,,,,,,
2024-07-23 04:09:21,True,3036043,Board voltage,,board_voltage,power,12.4,volt,,
2024-07-23 04:09:50,True,3036045,Board voltage,,board_voltage,power,24.9,volt,,
2024-07-23 04:09:50,True,3036045,External temperature,°С,ext_temp_sensor_1,temperature,6.1,celsius,,
,True,3036047,,,,,,,,
,True,3036049,,,,,,,,
2024-07-23 04:09:26,True,3036056,Board voltage,,board_voltage,power,12.4,volt,,
2024-07-23 04:09:47,True,3036057,Board voltage,,board_voltage,power,24.9,volt,,
2024-07-23 04:09:47,True,3036057,External temperature,°С,ext_temp_sensor_1,temperature,7.9,celsius,,
,True,3036059,,,,,,,,
,True,3036060,,,,,,,,
2024-08-02 17:17:48,True,1228833,Bordstrom / shorepower,,board_voltage,power,12.982,volt,,
2024-08-02 17:17:48,True,1228833,Motorraum Temp. / Engine temp.,,ble_temp_sensor_1,temperature,29.0,celsius,,
2024-08-02 17:17:48,True,1228833,Kabinen Temp./ Cabin temp.,,ble_temp_sensor_3,temperature,36.4,celsius,,
2024-08-02 17:17:48,True,1228833,Kabinen Luftfeucht. / Cabin humitdiy,%,ble_humidity_3,custom,61.0,custom,,
2024-07-23 04:09:17,True,3036068,Board voltage,,board_voltage,power,13.202,volt,,
2024-07-23 04:09:22,True,3036069,Board voltage,,board_voltage,power,24.9,volt,,
2024-07-23 04:09:22,True,3036069,External temperature,,ext_temp_sensor_1,temperature,5.9,celsius,,
,True,3036070,,,,,,,,
,True,3036071,,,,,,,,
