id,start_date,avg_speed,end_date,length,max_speed,norm_fuel_consumed,type,end_address,start_address,points,tracker_id
22157.0,2024-06-24 00:00:03,41.0,2024-06-24 00:16:47,11.37,59.0,1.93,regular,"Al Madni Masjid, 24-04, 89th Street, New York, United States, 11369","Hutchinson River Expressway, New York, United States, 10465",181.0,877766
22158.0,2024-06-24 00:25:53,45.0,2024-06-24 00:50:08,18.15,59.0,3.09,regular,"Aqueduct Racetrack, 135th Drive, New York, United States, 11417","Al Madni Masjid, 24-04, 89th Street, New York, United States, 11369",277.0,877766
22159.0,2024-06-24 00:59:14,43.0,2024-06-24 01:10:43,8.2,59.0,1.39,regular,"John F. Kennedy International Airport, JFK Access Road, New York, United States, 11430","Aqueduct Racetrack, 135th Drive, New York, United States, 11417",129.0,877766
22160.0,2024-06-24 01:19:49,46.0,2024-06-24 01:40:09,15.61,59.0,2.65,regular,"317, East 54th Street, Brooklyn Community District 17, New York, United States, 11203","John F. Kennedy International Airport, JFK Access Road, New York, United States, 11430",229.0,877766
22161.0,2024-06-24 01:49:15,41.0,2024-06-24 01:59:05,6.77,59.0,1.15,regular,"2458, National Drive, New York, United States, 11234","317, East 54th Street, Brooklyn Community District 17, New York, United States, 11203",103.0,877766
22162.0,2024-06-24 02:08:21,42.0,2024-06-24 02:28:20,14.05,59.0,2.39,regular,"Fishermen's Way, New York, United States, 11697","2458, National Drive, New York, United States, 11234",206.0,877766
22163.0,2024-06-24 02:37:32,42.0,2024-06-24 02:53:11,10.99,59.0,1.87,regular,"Shore Front Parkway, New York, United States, 11694","Fishermen's Way, New York, United States, 11697",172.0,877766
22164.0,2024-06-24 03:02:17,44.0,2024-06-24 03:26:22,17.85,59.0,3.03,regular,"421, East 96th Street, Brooklyn Community District 17, New York, United States, 11212","Shore Front Parkway, New York, United States, 11694",264.0,877766
22165.0,2024-06-24 03:35:28,45.0,2024-06-24 03:52:53,13.16,59.0,2.24,regular,"Jamaica Bay Wildlife Refuge Visitor Center, Jamaica Bay Wildlife Refuge - West Pond, New York, United States, 11693","421, East 96th Street, Brooklyn Community District 17, New York, United States, 11212",195.0,877766
22166.0,2024-06-24 04:02:00,45.0,2024-06-24 04:25:29,17.46,59.0,2.97,regular,"Keystone Yacht Club, Woodmere Boulevard, Village of Hewlett Neck, Town of Hempstead, New York, United States, 11598","Jamaica Bay Wildlife Refuge Visitor Center, Jamaica Bay Wildlife Refuge - West Pond, New York, United States, 11693",254.0,877766
22167.0,2024-06-24 04:34:36,45.0,2024-06-24 04:55:55,16.14,59.0,2.74,regular,"269, South Service Road, New York, United States, 11430","Keystone Yacht Club, Woodmere Boulevard, Village of Hewlett Neck, Town of Hempstead, New York, United States, 11598",231.0,877766
22168.0,2024-06-24 05:05:01,44.0,2024-06-24 05:28:11,17.18,59.0,2.92,regular,"Shore Front Parkway, New York, United States, 11693","269, South Service Road, New York, United States, 11430",256.0,877766
22169.0,2024-06-24 05:37:16,44.0,2024-06-24 06:02:27,18.4,59.0,3.13,regular,"633, Macon Street, New York, United States, 11233","Shore Front Parkway, New York, United States, 11693",276.0,877766
22170.0,2024-06-24 06:11:33,42.0,2024-06-24 06:39:13,19.38,59.0,3.29,regular,"66, West 82nd Street, New York, United States, 10024","633, Macon Street, New York, United States, 11233",291.0,877766
