id,source_id,connection_status,movement_status,last_update,battery_level,battery_update,inputs,inputs_update,outputs,outputs_update,actual_track_update,additional,gps.updated,gps.signal_level,gps.heading,gps.speed,gps.alt,gps.location.lat,gps.location.lng,gsm.updated,gsm.signal_level,gsm.network_name,gsm.roaming
3036047,10230656,offline,parked,2024-07-23 04:11:54,,,[False],2024-07-23 04:11:54,[],2024-07-23 04:11:54,2024-07-22 23:02:12,,2024-07-23 04:09:12,100,45,0,0,38.133215,-85.7689033333,,0,,
3036045,10230654,offline,parked,2024-07-23 04:12:52,,,"[False, False, False, False, False, False]",2024-07-23 04:12:52,"[False, False, False]",2024-07-23 04:12:52,2024-07-22 21:41:39,"{'event_code': {'value': '0', 'updated': '2024-07-23 04:09:50'}}",2024-07-23 04:09:50,100,45,0,0,30.328325,-97.720808,,0,,False
877768,545140,offline,moving,2024-07-23 04:12:52,,,"[False, False, False]",2024-07-23 04:10:01,[],2023-10-27 05:47:10,2024-07-23 04:06:11,,2024-07-23 04:10:01,100,176,55,0,51.371815,12.21689,,0,,
3036043,10230653,offline,stopped,2024-07-23 04:11:54,,,"[False, False, False]",2024-07-23 04:11:54,[],2024-07-23 04:11:54,2024-07-23 04:01:58,"{'event_code': {'value': '0', 'updated': '2024-07-23 04:09:21'}}",2024-07-23 04:09:21,100,45,0,0,35.125748,-89.953146,,0,,False
3036070,10118819,offline,parked,2024-07-23 04:11:54,,,"[False, False, False, False]",2024-07-23 04:11:54,[False],2024-07-23 04:11:54,2024-07-22 17:04:05,,2024-07-23 04:09:06,100,45,0,0,48.2271,16.4295066667,,0,,
3036071,10118722,offline,parked,2024-07-23 04:12:52,79.0,2024-06-28 10:05:58,[],2024-07-23 04:12:52,[],2024-07-23 04:12:52,2024-07-22 17:12:49,,2024-07-23 04:10:01,100,45,0,0,45.08021,7.7822866667,2024-06-28 10:05:58,100,--,False
877767,545139,offline,moving,2024-07-23 04:12:52,,,"[False, False, False]",2024-07-23 04:09:59,[],2023-10-27 05:47:13,2024-07-23 03:58:10,,2024-07-23 04:09:59,100,336,49,0,43.1537816667,-78.5195166667,,0,,
3036068,10118720,offline,stopped,2024-07-23 04:11:54,,,[False],2024-07-23 04:09:17,[],2024-07-23 04:11:54,2024-07-23 03:53:12,"{'event_code': {'value': '0', 'updated': '2024-07-23 04:09:17'}}",2024-07-23 04:09:17,100,45,0,0,52.183298,21.184641,,0,,False
877766,545138,offline,moving,2024-07-23 04:12:52,,,"[False, False, False]",2024-07-23 04:10:01,[],2023-10-27 05:47:15,2024-07-23 03:45:10,,2024-07-23 04:10:01,100,99,52,0,40.66334,-73.81861,,0,,
3036069,10118721,offline,parked,2024-07-23 04:11:54,,,"[False, False, False, False, False]",2024-07-23 04:09:22,"[False, False, False, False]",2024-07-23 04:11:54,2024-07-23 03:55:17,"{'event_code': {'value': '0', 'updated': '2024-07-23 04:09:22'}}",2024-07-23 04:09:22,100,45,0,0,49.781564,10.213127,,0,,
3036060,10230669,offline,parked,2024-07-23 04:12:52,,,[],2024-07-23 04:12:52,[],2024-07-23 04:12:52,2024-07-22 23:07:46,,2024-07-23 04:09:57,100,45,0,0,19.358055,-99.1756733333,,0,,False
1228833,426531,active,parked,2024-08-02 17:16:45,100.0,2024-08-02 17:16:18,"[False, False, False, False]",2024-08-02 17:16:18,"[False, False]",2024-08-02 17:16:18,2024-07-23 17:53:51,"{'moving': {'value': '0', 'updated': '2024-08-02 17:16:18'}, 'ble_magnet_sensor_4': {'value': '0', 'updated': '2022-11-08 02:52:50'}, 'event_code': {'value': '385', 'updated': '2024-08-02 17:16:43'}, 'hardware_key': {'value': '74278BDAB64445208F0C720EAF059935', 'updated': '2024-07-24 13:52:59'}}",2024-08-02 17:16:43,100,121,0,104,49.30779,8.4480583,2024-08-02 17:16:18,100,Vodafone D2,False
3036059,10230668,offline,parked,2024-07-23 04:11:54,,,"[False, False, False]",2024-07-23 04:11:54,[False],2024-07-23 04:11:54,2024-07-23 04:07:16,,2024-07-23 04:09:16,100,45,0,0,20.9606833333,-89.5676933333,,0,,
3036056,10230665,offline,stopped,2024-07-23 04:11:54,,,"[False, False]",2024-07-23 04:09:26,[False],2024-07-23 04:11:54,2024-07-23 03:58:05,"{'event_code': {'value': '0', 'updated': '2024-07-23 04:09:26'}}",2024-07-23 04:09:26,100,45,0,0,25.725968,-100.278333,,0,,False
3036057,10230666,offline,parked,2024-07-23 04:12:52,,,"[False, False, False, False, False]",2024-07-23 04:09:47,"[False, False, False]",2024-07-23 04:12:52,2024-07-23 00:45:01,"{'event_code': {'value': '0', 'updated': '2024-07-23 04:09:47'}}",2024-07-23 04:09:47,100,45,0,0,22.157007,-100.957408,,0,,
3036049,10230658,offline,parked,2024-07-23 04:12:52,,,[],2024-07-23 04:12:52,[],2024-07-23 04:12:52,2024-07-22 23:00:15,,2024-07-23 04:09:56,100,45,0,0,37.7801766667,-122.4674633333,,0,,False
